name;breid;RGIID;from_date;to_date;from_date_rounded;to_date_rounded;B_geod;sigma_B_geod;num_models
Langfjordjøkelen;54;RGI160-08.01258;11.07.1966;09.09.2008;01.07.1966;01.08.2008;-0.7;0.04;1
Langfjordjøkelen;54;RGI160-08.01258;01.08.1994;02.09.2008;01.08.1994;01.08.2008;-1.18;0.15;4
Rundvassbreen;703;RGI160-08.01026;27.08.1961;18.09.2011;01.09.1961;01.09.2011;-0.27;0.04;1
Svartisheibreen;1135;RGI160-08.01598;25.08.1968;16.08.2016;01.09.1968;01.08.2016;-0.44;0.06;1
Hansebreen;2085;RGI160-08.02650;07.09.1988;14.08.1997;01.09.1988;01.07.1997;0.87;0.06;4
Hansebreen;2085;RGI160-08.02650;14.08.1997;02.09.2010;01.08.1997;01.08.2010;-1.34;0.1;4
Tunsbergdalsbreen;2320;RGI160-08.00434;02.09.1964;10.09.2013;01.09.1964;01.08.2013;-0.7;0.04;1
Austdalsbreen;2478;RGI160-08.01286;10.08.1988;17.10.2009;01.08.1988;01.10.2009;-0.32;0.05;4
Hellstugubreen;2768;RGI160-08.00449;27.08.1968;26.09.1980;01.09.1968;01.09.1980;-0.38;0.2;1
Hellstugubreen;2768;RGI160-08.00449;26.09.1980;08.08.1997;01.10.1980;01.07.1997;-0.08;0.07;4
Hellstugubreen;2768;RGI160-08.00449;08.08.1997;17.10.2009;01.08.1997;01.10.2009;-0.51;0.07;4
Memurubreen Austre;2769;RGI160-08.01013;21.07.1966;17.10.2009;01.08.1966;01.10.2009;-0.35;0.05;1
Bondhusbrea;3133;RGI160-08.02916;10.08.1959;20.09.2013;01.10.1960;01.09.2013;-0.21;0.06;0
Svelgjabreen;3137;RGI160-08.02918;10.08.1959;20.09.2013;01.10.1960;01.09.2013;-0.11;0.06;0
Møsevassbrea;3138;RGI160-08.02920;10.08.1959;20.09.2013;01.10.1960;01.09.2013;-0.37;0.06;0
Blomstølskardsbreen;3141;RGI160-08.02969;10.08.1959;20.09.2013;01.10.1960;01.09.2013;-0.06;0.06;0
